Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
4	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	46.43	73.21	75.0	71.43	72.41	74.07	73.68	13	0.7107142857142857	0.6375000000000001	196.365	3ce3283c2d11c510f0d6d3ee51c9fdfc035c3b3a0af29c0e50cc30d28d24b271	35.71	67.86	75.0	60.71	65.62	70.83	70.0	5	0.7107142857142857	0.6265625	32.803	0adc5b9e3bb5722f32bf8d9efb58fba3eaaaff1c5d06122ec3685e022613ce7c	46.43	73.21	75.0	71.43	72.41	74.07	73.68	13	0.7107142857142857	0.6375000000000001	53.56	3ce3283c2d11c510f0d6d3ee51c9fdfc035c3b3a0af29c0e50cc30d28d24b271	35.71	67.86	75.0	60.71	65.62	70.83	70.0	5	0.7107142857142857	0.6265625	32.458	0adc5b9e3bb5722f32bf8d9efb58fba3eaaaff1c5d06122ec3685e022613ce7c	31.43	65.71	65.71	65.71	65.74	65.9	65.62	0.0	149520.0	0.0028061224489795878	0.0007015306122448969	0.003571428571428574	0.0016581632653061237	0.00056919317327536	0.0013731688384727265	0.0011840146073622676	0.0	385.2	0.0	("a66eb5eef2a35e2a402c4b08576d3f38a89d1e701df26ac1cd7a3faa0a6b1f54", "b383d1bbc67cbb9d838d184b3fdde314dc6a8dfc4d0f31380709fac38652605a", "cb28ac702299db93aeb868159864b0a7bd34d147d287443ac2fd63d14ebda8c4", "03a928327f710da5c714d4d0ff8bed6e88cb185b7bb6670975d44322e35cdad6", "459dfd72230374abffb865b42da6c8615f7e22aa9b41c2061111d724079b5fa5")	32.14	66.07	69.29	62.86	65.12	67.26	67.1	27.55	297680.0	0.0019132653061224513	0.00047831632653061283	0.001658163265306121	0.0010204081632653088	0.00043945500282227995	0.0008122345399064981	0.0006299102166292105	0.00019524202616483488	329.20000000000005	6956.768	("916971220a2a65ef3463d8bc2d9735cd7cfa3b390ac805e46313b169e8fca559", "956e48014c5a0873933e7a0509155453e57358d7556b278fcf5b6d54505dbcb8", "7040a297c23851caf4a2661a8c193b2a8c7446211a8312fa79dc829a7f24f3bf", "9f73876cb79eb432f0e65ac6b45117bb9761ddf1f5aef1d9a921b59e9f84a24b", "e04ff86ca5e27fedf31f77a40902169119d978f407f07b5993ddd9b9eb64ba85")	
5	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	42.86	71.43	67.86	75.0	73.08	70.0	70.37	19	0.7514285714285714	0.6775	70.756	ae6fc09e27e1024f99f47931dfe6c1ae943969c96a148128b366ba7f8c812dad	39.29	69.64	71.43	67.86	68.97	70.37	70.18	5	0.6938311688311689	0.6295258620689655	30.517	fa25bcf10d15af91a0a9b527c19f4adb973f9e0e19084ece9ce82cc7ceeb4043	42.86	71.43	67.86	75.0	73.08	70.0	70.37	19	0.7514285714285714	0.6775	40.037	7228cdbc85ec535e1e24e4d315935c7429faeaaa9efabccd5f099be0fb5c086b	39.29	69.64	71.43	67.86	68.97	70.37	70.18	5	0.6938311688311689	0.6295258620689655	32.603	fa25bcf10d15af91a0a9b527c19f4adb973f9e0e19084ece9ce82cc7ceeb4043	35.0	67.5	65.0	70.0	68.4	66.73	66.63	0.0	144920.0	0.0021683673469387785	0.0005420918367346945	0.0015306122448979604	0.0003826530612244894	0.0004007825141891083	0.0007480843185433654	0.0007984183765369481	0.0	1325.2	0.0	("c5d294a185e3109e0949d2889934b1af9565a2f499b64c835af606fa8c1e1f7f", "94754112e34677c5a50f469c95737567780a4e948d4451599c9455609e8880e9", "dd4013fe908f924aef9330a90bb06fcaaa78394085d57dde6ec6fbeeec7b1b4d", "ab35c1efd9066ba2315f718a84ea3c5f7d57d857c1711ce8c8187e72b4878722", "f9192cacd62c4e8d40a351a21cb67e6e35475fe783f156af58492ff1ef0db667")	35.71	67.86	63.57	72.14	69.55	66.46	66.41	27.81	290960.0	0.0025510204081632673	0.0006377551020408167	0.0008928571428571452	0.000892857142857142	0.0007890072320841538	0.0005655251602014839	0.0007274473989997573	0.00022013626752290778	2218.7999999999997	5832.312	("9ba180d245b8b09e77549686dfc6baca43fd4da36181adb5b0b18e5f1417f2a0", "36ba9923029e636db9d3935d9d9944470b7c93febcb45581dcd8d7949d39b32a", "897e842d3c6b8e0a64bd4eed66e51ffc83e9e04b3326ec23ad5b67a876e912fa", "0f2d87b72d083264ffeb9c6b4aa0e31b6a011d6249d9a390962b744d3b4ea405", "ccd111a8d7bbac1e8623c50874ac06abe5c47d569d9454f4a12855925d30249a")	
6	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	25.0	62.5	60.71	64.29	62.96	62.07	61.82	23	0.7665584415584416	0.6596590909090909	128.354	38a9835bf32f0531f496168a3d874635323fffda4251f56697a13da177f464cd	17.86	58.93	60.71	57.14	58.62	59.26	59.65	15	0.7233516483516483	0.6312500000000001	64.461	399cb11708ef7f917cf88a5663b0a81eb1fa76b29631e53e03b159f193c3cf9b	25.0	62.5	60.71	64.29	62.96	62.07	61.82	21	0.7665584415584416	0.6596590909090909	67.041	50a8110578692ff15b0284fff9d873f0781aa52b93ea1decbc2d32409d6a4dce	17.86	58.93	60.71	57.14	58.62	59.26	59.65	15	0.7233516483516483	0.6312500000000001	65.406	399cb11708ef7f917cf88a5663b0a81eb1fa76b29631e53e03b159f193c3cf9b	35.71	67.86	71.43	64.29	66.77	69.2	68.98	0.0	149080.0	0.003188775510204079	0.0007971938775510197	0.0006377551020408157	0.0025510204081632673	0.0010614981095257	0.0006410755544821486	0.0005391769010983267	0.0	119.2	0.0	("8085664da9adf99bf9c9bb1b7c0dde3bca77d71222c49e8ba9f00c5b7b9a1cdf", "1cc051204b239ab48e299b44826c7208591d0c73f81adc26b64b305b89c7a24e", "c1c66fb84e41e31de6d849002fae20b4209f87af2c8cc733da6a2237317f3bda", "b31b181c396384f2eaff0047f45300d75e0b555ec23b19b07d6755dc00130c88", "6997481f2480559fe42544f8b1b4e6a6f0b6a7b1c553c094c7ba47af7faeb9fa")	35.0	67.5	72.86	62.14	65.91	69.52	69.18	28.05	298800.0	0.0040816326530612205	0.0010204081632653051	0.0003826530612244895	0.0029336734693877578	0.001153067927377333	0.0008461685349846089	0.0005990273783532734	6.460960137833837e-5	1098.0	5485.374	("392549ac6f307b24bd8c0699f8c7c648845e52c403fa0e2c355a63ec9d9bc003", "fb66e4935c04d3e01e404b219f42834d277b65f230a86f2886c27d2c816612e3", "1100b38767e137c000acc01b76238528dfa5c99284e7c6e27cfc358102437f1b", "0c186c0364c9f9cec8a547cf35c7e4f68f7a447c7771bfeec59d5a1bfb8c9e61", "1ee8b1cd59cce7936050c10e811ded90c4b3c37b9d0bbac0616f96861cdf6c6a")	
7	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	46.43	73.21	75.0	71.43	72.41	74.07	73.68	19	0.6652857142857143	0.62425	99.844	3ae69af595ab026c4d3dd957b0ac07169235fd268c01385f3991835382709f9f	42.86	71.43	71.43	71.43	71.43	71.43	71.43	5	0.6938311688311689	0.6392857142857142	31.88	eca1ddc7fc0302267e20b927cb465d11fadbe9c2b5871cfea8e8fff753454bd6	42.86	71.43	75.0	67.86	70.0	73.08	72.41	19	0.6652857142857143	0.62425	41.547	40877efd056efd239b1f97771b926592a14e5fd59e0d19baf9363d3ed2b7125f	42.86	71.43	71.43	71.43	71.43	71.43	71.43	5	0.6938311688311689	0.6392857142857142	31.893	eca1ddc7fc0302267e20b927cb465d11fadbe9c2b5871cfea8e8fff753454bd6	43.57	71.79	74.29	69.29	70.82	72.9	72.49	0.0	151240.0	0.004719387755102043	0.0011798469387755107	0.0008928571428571422	0.002295918367346937	0.0013764405012727794	0.0010402374351255103	0.0009698011767792721	0.0	324.8	0.0	("af09fc959f22e61459ffb0b6a42b0d29d50de084a0a5d061467aae27ca30f664", "b62b28b51f7a04a01b7cb161c1133ca2746a32f92a42338e69032bae618c2c54", "5a59bc4a9d420d4ab505869969e9d1092c1beaf169f94b924a95c8efa1ac5f2c", "74f78e3ab15fb76aabd647e69926997a16653d08f51f90c73566edb19fa1a638", "b0676599cb8ea82f4bcc97c5e9f0ed6e95925d6ae505298f2099195352af1252")	39.29	69.64	75.71	63.57	67.62	72.28	71.41	29.05	300680.0	0.006377551020408158	0.0015943877551020393	0.0008928571428571421	0.0034438775510204117	0.0017352430555555537	0.0014615600558780736	0.0011458942860503758	0.0004885206359151062	1037.2	5150.764	("cf9c353f6cb3ed26f4c53dd44508cf786c8531d86c8804d3c3ff463d7be6cbe8", "286b1710cedb48831c1638082714ac3679231e8436bb14de65e024112f154ae3", "5c3b0ed1cb5dd26a5694e10e412ccc2493ca1bff1c77e08ed2a9cefa3d132104", "ef4352bef59b741db1d143aeeef47b43bebbaddfc22a1ce6d60a8917188f7eeb", "8d92128e96bd5144ce27d3dd198816925b32d48dd38cc2f04c4a6e4d7417aa00")	
8	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	35.71	67.86	64.29	71.43	69.23	66.67	66.67	23	0.8214285714285715	0.6875	81.393	0efdcf171e6796138199f121b6ca88f92d0a870956e659cf2a64f8b48fb0aa32	39.29	69.64	60.71	78.57	73.91	66.67	66.67	5	0.6865079365079365	0.6241847826086957	39.204	ec6a4e9765975adac8d48708cf94251e930bb61f0c165c2c1ee89b880660622a	32.14	66.07	67.86	64.29	65.52	66.67	66.67	19	0.8214285714285715	0.6875	54.694	eaf8a2416c3ed79756a851e955aa7389875b8e9be68e041cc06f9c84c2869126	39.29	69.64	60.71	78.57	73.91	66.67	66.67	5	0.6865079365079365	0.6241847826086957	39.275	ec6a4e9765975adac8d48708cf94251e930bb61f0c165c2c1ee89b880660622a	39.29	69.64	62.14	77.14	73.27	67.08	67.18	0.0	151560.0	0.003188775510204079	0.0007971938775510198	0.0010204081632653088	0.002295918367346937	0.001814605516365535	0.0004909424078339239	0.0008193634099435163	0.0	534.8	0.0	("e2e892784970dc355f28a016049cd97af8c3a7a1b950f81db824877517869593", "c4f636192224008d53097314076233ac6230796f3b6ee634c1b5d0160c2a3711", "d2801249cf6e5f08077bc3b70e646bd1bb2feb1c0e39eac1d6ec99fa4e3a7275", "33d4f95d8aebecdd29c9b14b66d8488cfe921e91f57faa9cddaa3ffc5891c073", "e639de0b2e98f73f0968fd6a04f96fb3c4a29f8ce82263ab7007d49c89ac5ae0")	37.86	68.93	63.57	74.29	71.26	67.13	67.15	29.12	303080.0	0.0010204081632653051	0.00025510204081632634	0.0008928571428571452	0.0008928571428571422	0.0004888206388843492	0.000279124733684924	0.0003548714106337334	0.0004444357428146305	2111.2	5563.32	("0c24b6bfbca9167743fec388cc6360a26d4cfa98a8c5853ba2eaa988e5a57fa2", "ea04163bbc490fd7f71df28e478313137d8861e8de5f8d465718e6cf5b25028b", "2b7acefb7eb3722ace32bf5f5e662e8a0b3f6f6cb9929f24c863d531fb959b6d", "c1c686923b5dcb0d7b3e6f8844296f8dc146018e42889c50eac73e3179c4780b", "d4955650e2817b3ddb508ee9e86221cc60e6b6b8fe432c822fb10bb752e50d3b")	
9	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	39.29	69.64	67.86	71.43	70.37	68.97	69.09	15	0.6967532467532467	0.6397727272727273	72.756	74502019bc02fd8366c97e8557bee6198a3a0e149d16597d27c289fa859db8b2	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	34.085	85a1b528f845314e537c686d92277f9b4102313121ac316f61491540a827318f	39.29	69.64	67.86	71.43	70.37	68.97	69.09	15	0.6967532467532467	0.6397727272727273	52.265	74502019bc02fd8366c97e8557bee6198a3a0e149d16597d27c289fa859db8b2	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	33.268	85a1b528f845314e537c686d92277f9b4102313121ac316f61491540a827318f	32.86	66.43	56.43	76.43	70.86	63.69	62.68	0.0	142640.0	0.005357142857142859	0.0013392857142857147	0.0021683673469387738	0.004209183673469384	0.003094509647117872	0.0008648557520297722	0.001486877242879229	0.0	510.8	0.0	("1de0b4cb0d090a611de1dbdadf1ad87aac7250a48f293c665c7b33e30c1a084b", "aa9f81342eec4686a0209e2e2a4098679a39e00456cae90ba0147b0eb2813ef6", "ecbd057a9937d89b7e11bd3819f5ccaefd8adae8135809668c9ef0f52db381f7", "14e6e05ec503fb222710724c219cb59be90d0fcd3ecf0312efb58748975ca99a", "ec354e0552520d2966c78a6ce46c100fa856fb7af90393ad9b69866ca193aee7")	32.86	66.43	58.57	74.29	69.67	64.14	63.61	27.43	287920.0	0.004719387755102041	0.0011798469387755103	0.0003826530612244895	0.002806122448979589	0.0025083666966971654	0.0006392149314467146	0.0009477663475305539	0.00026431200563865545	353.2	5391.278	("6bf33598cf1b0b673b62f7dc8db90efa0824a09728da529d958f83de6d0e69e1", "83345f0a992882cd754c4c4a986a86fa68bcec06016c5e259a61c3506901839b", "1e0d48267e0ff13b4b0d9f0b924caacd0d89ba5f5523645da09c98326e28a173", "679cc80b4c2a60f4d70bfda7994e4cd0c43463ef935fccbf34951a45ebf2b8b1", "e6a8d074f0344b9011a26a8ec1040de5ad77a81911f939fef56d93defec3015e")	
10	stump_with_memoization	(1,false)	2	40	(75,50)	false	Any[]	TestOp_80	32.14	66.07	67.86	64.29	65.52	66.67	66.67	11	0.6464285714285715	0.5955357142857143	54.435	3c02252f51625ee9b4697c08502ba61f25c8b046caa10f3265abbade406b12c4	32.14	66.07	67.86	64.29	65.52	66.67	66.67	11	0.6464285714285715	0.5955357142857143	54.148	3c02252f51625ee9b4697c08502ba61f25c8b046caa10f3265abbade406b12c4	32.14	66.07	67.86	64.29	65.52	66.67	66.67	11	0.6464285714285715	0.5955357142857143	54.347	3c02252f51625ee9b4697c08502ba61f25c8b046caa10f3265abbade406b12c4	32.14	66.07	67.86	64.29	65.52	66.67	66.67	11	0.6464285714285715	0.5955357142857143	53.96	3c02252f51625ee9b4697c08502ba61f25c8b046caa10f3265abbade406b12c4	45.71	72.86	65.0	80.71	77.36	69.71	70.59	0.0	146920.0	0.005994897959183675	0.0014987244897959188	0.0008928571428571446	0.003571428571428573	0.003544908172635447	0.0007819342607811947	0.0014092587435567418	0.0	597.1999999999999	0.0	("ef6c3c6831e8f883954868623cf8dc74dd372c0b47fed57faa31588c907f3363", "fc8dba2dc61e479cfb33b98e447bf39f24a61ed1ef5e32642484f4683977e0bc", "7a501678ef987c337359aa9cba1866a1cc733b1307c2b891999acf6530adfc3e", "681c8299221c3afea6b414fb8cbc3225adb83c705daba50a1fb4f2a7edb85fdc", "22a88fde7fc6776f53bfda0367fbff0aad84b517d0b8768ca6e4b946663033f4")	47.14	73.57	65.71	81.43	78.38	70.27	71.41	26.02	293960.0	0.00790816326530613	0.001977040816326533	0.0003826530612244895	0.005357142857142859	0.005708991444088664	0.0007953139021082458	0.001636576023075194	0.00022907040488683483	722.8	4876.87	("5109312a8e02c9321be2c22bac89dc90d30bc783bfb27a8172a6d4f0b581cb03", "55d164d437006f45d506404c41bf3521c7abf2e3d7cf611c49d8a4f199ba30b2", "6795673fa0a7da2bcd3ebc606af8dddea0c9450e23597b6e2f95a7dfbe488d74", "43327a0758e7ccff1420b5ddc31285cf32fa06963868c070a36676f176a7f041", "e0f8ee81ecf7528fe8204d2129271504dbd11dc165badb8d719e439321d43a38")	
1	stump_with_memoization	(1,false)	3	40	(75,50)	false	Any[]	TestOp_80	35.71	67.86	75.0	60.71	65.62	70.83	70.0	17	0.7107142857142857	0.6008928571428571	87.414	3c2409b4436a6a34f745fb6c9f3efa28381db2bf129d00135d180848baba657f	32.14	66.07	67.86	64.29	65.52	66.67	66.67	13	0.7107142857142857	0.6008928571428571	10.351	e2e8cc3848c0efda27fd8e6077549a37115e3383b0a2ac0891612b31915a1fa4	35.71	67.86	75.0	60.71	65.62	70.83	70.0	17	0.7107142857142857	0.6008928571428571	10.262	3c2409b4436a6a34f745fb6c9f3efa28381db2bf129d00135d180848baba657f	32.14	66.07	67.86	64.29	65.52	66.67	66.67	13	0.7107142857142857	0.6008928571428571	10.172	e2e8cc3848c0efda27fd8e6077549a37115e3383b0a2ac0891612b31915a1fa4	43.57	71.79	75.71	67.86	70.22	73.93	72.78	0.0	139480.0	0.005357142857142859	0.0013392857142857147	0.004081632653061221	0.0019132653061224472	0.0011299182469378614	0.0029394944604734857	0.0016023258928025198	0.0	111.2	0.0	("f23ac04f2514bfc56aa7911e141da4cb460fe98e9e2159da5f0b84fb7cbc5f0c", "93d0af7c8bbf5888e6604c53db1d3eeddb43e46a8c60e4c8b9fde67c889904ef", "d7378773728f61f5bf022ece139a64a59bd08485d201023307a0f9e447d6e5ef", "d92d47206ff647b3b1afc07c800ec04b42fdf4299022287ce62a819115984867", "565675e8497e3f7c703cbfb2696ff464b73bc6a57c34470cb38550667e27ad66")	47.86	73.93	78.57	69.29	71.93	76.47	75.07	25.04	279320.0	0.0016581632653061256	0.00041454081632653146	0.0012755102040816315	0.0010204081632653051	0.0004009586328698886	0.0008281694801872122	0.00045265188063812523	0.0003093429399326486	587.2	11463.715	("4db8042575cb207434c4002104b12fc2ff4bf420a836ad778d55ad5a686fb280", "a7196002a3dab0d0ee4ab3997b24a5a5d86078ab5c712d75d00437de257e299f", "b94fd554ec4ef4c257c96dc8f04797e459f83c973fa706b842c661c774f22d45", "3f0c8e0d08bcd177974eab653c28df8aa8b51fc4552e7fa0072970ee66d7e6b7", "6b15a5ddcae45fc079b70569161cc16a52f6323c169365d466843e752863c846")	
2	stump_with_memoization	(1,false)	3	40	(75,50)	false	Any[]	TestOp_80	10.71	55.36	42.86	67.86	57.14	54.29	48.98	15	0.625420168067227	0.5650735294117647	2311.563	94f4d22ad4bb6db3b793b64de626e157c61149629f56d94511cb79cfa1d5087a	14.29	57.14	42.86	71.43	60.0	55.56	50.0	7	0.625420168067227	0.5676630434782608	7.316	93c7bdeac8d0e06896b734be3280b7ac3dda03f2d3ea122dc97be9035f350931	14.29	57.14	50.0	64.29	58.33	56.25	53.85	23	0.625420168067227	0.5650735294117647	286.515	90b57612e96d6c7764e14bbed88e9531bd2e8055c8e8eb261c18cb96919d2ffa	14.29	57.14	42.86	71.43	60.0	55.56	50.0	7	0.625420168067227	0.5676630434782608	7.38	93c7bdeac8d0e06896b734be3280b7ac3dda03f2d3ea122dc97be9035f350931	35.0	67.5	68.57	66.43	67.53	67.94	67.83	0.0	140200.0	0.004081632653061221	0.0010204081632653053	0.002806122448979594	0.007397959183673472	0.002506418543026504	0.000628909333356065	0.000772439882056203	0.0	1562.0	0.0	("110d1bab737b7baef29f205b6d98ed016c0f9d10104ad0afb083438ff53e0f6a", "a4efa1058f0ba5e53c93aba55c459ab417247747722994a9588e35a822d693f7", "12e3fbae4bb86f87a0cec89f1c6d8a44e774ea0b3356c96d7689018e03aeea40", "354470a24a05b9e894be1f464ee28ccc2f380d7a8fa6fa81ab312d41740ac998", "80a2d35048b071688923a9c79913fe316f7b1ba0b4515b2c030c36a5ea3af461")	33.57	66.79	65.71	67.86	67.44	66.37	66.46	27.96	278320.0	0.007397959183673473	0.0018494897959183683	0.001658163265306124	0.005739795918367348	0.002980825158690992	0.0014111016307928193	0.0013736025416916538	0.00012138773592293875	1481.2	7499.854	("bc272b5c17b9fc03d4ca4998ab051f556dc2dda94693e6c1d404ac97960a361e", "0c14d4b21b86325e22afc36cf0d9c5a6b440aee224bc00a7ae491ee565d386ca", "770dbe88383e370ac1c2c760a6c2e9b142a9ad287a52f8b646c4aa276d110b28", "92b7fecbcfa755ef62a6451dcfe50ac9acb2b2544cf84c209a6baa9be4e7db9f", "041f1e79412e88cd12ac2171d6920ca64825bc2d39f04aaccf98496e6f55c663")	
3	stump_with_memoization	(1,false)	3	40	(75,50)	false	Any[]	TestOp_80	25.0	62.5	50.0	75.0	66.67	60.0	57.14	15	0.6152255639097745	0.5634868421052632	25.852	a7a8b5d8d627d13085723b43d4d93e62703d3fb60321b350e4b4036f86155b77	25.0	62.5	50.0	75.0	66.67	60.0	57.14	13	0.6152255639097745	0.5634868421052632	10.79	4f950efa32e01504e1a13944a8f072a790ca8a9413f02c3580867ad0e4e95e0a	25.0	62.5	50.0	75.0	66.67	60.0	57.14	15	0.6152255639097745	0.5634868421052632	10.782	a7a8b5d8d627d13085723b43d4d93e62703d3fb60321b350e4b4036f86155b77	25.0	62.5	50.0	75.0	66.67	60.0	57.14	13	0.6152255639097745	0.5634868421052632	10.768	4f950efa32e01504e1a13944a8f072a790ca8a9413f02c3580867ad0e4e95e0a	35.71	67.86	53.57	82.14	75.28	63.88	62.5	0.0	140680.0	0.0038265306122448944	0.0009566326530612236	0.0012755102040816315	0.0025510204081632673	0.003148808543025053	0.0005458285439970426	0.001113117091129724	0.0	17.2	0.0	("5314352ecdd760073b49dc092c8032342d97ed263227c77c9ec7c0124a9c149d", "2c6631d5a2e28fdf252e203ac4726f0935d9319902106de5e651c37d14ff1536", "75da7bac6e4240b86bc3091fd9af828701b3286c1234ffb8c42af95f04f4ab15", "2353471cc7893265db270ac88d37e074f4efab460b9d524009a245e0529ab2e0", "a4a850332458d552917e567d585dd07a1958f533f4da4a64657dba1b340d8233")	35.0	67.5	52.14	82.86	75.4	63.37	61.63	24.87	280200.0	0.002806122448979591	0.0007015306122448977	0.00038265306122448945	0.0015306122448979615	0.0023840412434595294	0.0003238444391335508	0.0007369068963641796	0.00042485707573028375	342.0	7038.306	("25717fe4e526f034be1526ca221af4a8f7e6361d9f11dd9ced611cdeb81d8c16", "f0fb9aa7b279d6bccd8738bb03fe0f755e53f828c8ddab40bb76987b5ba8aca2", "af36c8913d140104bc2b61433a9a94b92bc418e5f24a991452796a6426685573", "da52d389e038213398d9c8d59b2f53a1a1e36174ae68ed924c887b4637d6fca6", "62c24be91cc47a220e5b8c74e352ece5b1a4d45b66ad9973ebbba8527004f7b5")	
