Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 2, 0.01, 0.4, false)train_accuracy	T,(nothing, 2, 0.01, 0.4, false)K	T,(nothing, 2, 0.01, 0.4, false)accuracy	T,(nothing, 2, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.4, false)n_nodes	T,(nothing, 2, 0.01, 0.4, false)n_leaves	T,(nothing, 2, 0.01, 0.4, false)height	T,(nothing, 2, 0.01, 0.4, false)modal_height	T,(nothing, 2, 0.01, 0.4, false)t	T,(nothing, 2, 0.01, 0.4, false)hash	T,(nothing, 2, 0.01, 0.5, false)train_accuracy	T,(nothing, 2, 0.01, 0.5, false)K	T,(nothing, 2, 0.01, 0.5, false)accuracy	T,(nothing, 2, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.5, false)n_nodes	T,(nothing, 2, 0.01, 0.5, false)n_leaves	T,(nothing, 2, 0.01, 0.5, false)height	T,(nothing, 2, 0.01, 0.5, false)modal_height	T,(nothing, 2, 0.01, 0.5, false)t	T,(nothing, 2, 0.01, 0.5, false)hash	T,(nothing, 2, 0.01, 0.6, false)train_accuracy	T,(nothing, 2, 0.01, 0.6, false)K	T,(nothing, 2, 0.01, 0.6, false)accuracy	T,(nothing, 2, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.6, false)n_nodes	T,(nothing, 2, 0.01, 0.6, false)n_leaves	T,(nothing, 2, 0.01, 0.6, false)height	T,(nothing, 2, 0.01, 0.6, false)modal_height	T,(nothing, 2, 0.01, 0.6, false)t	T,(nothing, 2, 0.01, 0.6, false)hash	T,(nothing, 4, 0.01, 0.4, false)train_accuracy	T,(nothing, 4, 0.01, 0.4, false)K	T,(nothing, 4, 0.01, 0.4, false)accuracy	T,(nothing, 4, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.4, false)n_nodes	T,(nothing, 4, 0.01, 0.4, false)n_leaves	T,(nothing, 4, 0.01, 0.4, false)height	T,(nothing, 4, 0.01, 0.4, false)modal_height	T,(nothing, 4, 0.01, 0.4, false)t	T,(nothing, 4, 0.01, 0.4, false)hash	T,(nothing, 4, 0.01, 0.5, false)train_accuracy	T,(nothing, 4, 0.01, 0.5, false)K	T,(nothing, 4, 0.01, 0.5, false)accuracy	T,(nothing, 4, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.5, false)n_nodes	T,(nothing, 4, 0.01, 0.5, false)n_leaves	T,(nothing, 4, 0.01, 0.5, false)height	T,(nothing, 4, 0.01, 0.5, false)modal_height	T,(nothing, 4, 0.01, 0.5, false)t	T,(nothing, 4, 0.01, 0.5, false)hash	T,(nothing, 4, 0.01, 0.6, false)train_accuracy	T,(nothing, 4, 0.01, 0.6, false)K	T,(nothing, 4, 0.01, 0.6, false)accuracy	T,(nothing, 4, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.6, false)n_nodes	T,(nothing, 4, 0.01, 0.6, false)n_leaves	T,(nothing, 4, 0.01, 0.6, false)height	T,(nothing, 4, 0.01, 0.6, false)modal_height	T,(nothing, 4, 0.01, 0.6, false)t	T,(nothing, 4, 0.01, 0.6, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)K	RF,(half_f, 50, 0.7, identity, nothing, false)accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² K	RF,(half_f, 50, 0.7, identity, nothing, false)σ² accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.08	58.54	79.27	79.27	73.17	85.37	83.33	76.09	77.92	31	16	8	4	22.897	fd372e0632dcda79372e5cbf2c82ab010563934224d4b09e6c3cdcf734b8b2a2	99.08	58.54	79.27	79.27	73.17	85.37	83.33	76.09	77.92	31	16	8	4	11.914	fd372e0632dcda79372e5cbf2c82ab010563934224d4b09e6c3cdcf734b8b2a2	99.08	58.54	79.27	79.27	73.17	85.37	83.33	76.09	77.92	31	16	8	4	11.907	fd372e0632dcda79372e5cbf2c82ab010563934224d4b09e6c3cdcf734b8b2a2	98.16	60.98	80.49	80.49	75.61	85.37	83.78	77.78	79.49	29	15	7	3	11.01	1144f2184f8feb8bf9b1e9c096f7d58c71073e3a9fa910991d0055bb59e61114	98.16	60.98	80.49	80.49	75.61	85.37	83.78	77.78	79.49	29	15	7	3	11.029	1144f2184f8feb8bf9b1e9c096f7d58c71073e3a9fa910991d0055bb59e61114	98.16	60.98	80.49	80.49	75.61	85.37	83.78	77.78	79.49	29	15	7	3	11.017	1144f2184f8feb8bf9b1e9c096f7d58c71073e3a9fa910991d0055bb59e61114	99.57	61.46	80.73	80.73	70.73	90.73	88.44	75.62	78.58	7.3	5000.0	100280.0	0.0	0.01	0.0	0.0	0.03	0.01	0.01	0.01	0.01	0.0	0.0	4520.0	210.64	("823aa664a59fa6457973b96c12498a72cd97334cbfe026ea8171700bee571a32", "a5340cac24ef31edfe4981318e52e8c573e28a8d755364a001155f275d4faa58", "7f7cd7478214ee7123329942a24981c20f7dc6a59a516eb1dc1c0b3e3205d76f", "19c937e6a3fffb153531d76bececf6806ff73e2faca1fd4a327501e17ed5808d", "1a59d23d0e3bfb58211877b5f454d37464276123fcf2441dd065ec464749ea75")	
2	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	98.77	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	31	16	7	7	24.523	0c4ffac643e244ea4199354948c5e645ea1c4c8c7a91046716bf3add01dce3aa	98.77	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	31	16	7	7	16.49	0c4ffac643e244ea4199354948c5e645ea1c4c8c7a91046716bf3add01dce3aa	98.77	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	31	16	7	7	16.566	0c4ffac643e244ea4199354948c5e645ea1c4c8c7a91046716bf3add01dce3aa	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	31	16	7	6	16.536	3377d429b17d0b13041e85122fda8f2f264e99a71dfee6f510484509c559ee60	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	31	16	7	6	16.466	3377d429b17d0b13041e85122fda8f2f264e99a71dfee6f510484509c559ee60	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	31	16	7	6	16.515	3377d429b17d0b13041e85122fda8f2f264e99a71dfee6f510484509c559ee60	99.14	79.02	89.51	89.51	86.83	92.2	91.8	87.52	89.23	9.63	5000.0	114640.0	0.0	0.02	0.0	0.0	0.02	0.04	0.04	0.01	0.0	0.0	0.0	52680.0	223.271	("ae6b584a16d0700d4a6102536f1681fd6fe1a80266a376811975b4c01d28bfe5", "787960560b988d4813342f0ad89f6128652659623cabaa1922a7bf9dac6d8be4", "7f5cf6f723341025fbbd06625b33aa2f8db4132be4208dff1ff2db518efbcb9c", "ebb739b33dede80d7428c8f8e947ceb5a289431b9df696f5d0bbf21075e9c425", "7a0f2a07e2f5f8a66ac4de69a9c8a236561238e84d9c6e50c0ed2eeff8d4c24b")	
3	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	68.29	84.15	84.15	87.8	80.49	81.82	86.84	84.71	35	18	8	6	19.654	cd69b4db74d41e82fc4df8bd05247ad1cb9979563b67870f5e96125f30b75c22	99.39	68.29	84.15	84.15	87.8	80.49	81.82	86.84	84.71	35	18	8	6	10.893	cd69b4db74d41e82fc4df8bd05247ad1cb9979563b67870f5e96125f30b75c22	99.39	68.29	84.15	84.15	87.8	80.49	81.82	86.84	84.71	35	18	8	6	10.9	cd69b4db74d41e82fc4df8bd05247ad1cb9979563b67870f5e96125f30b75c22	97.85	63.41	81.71	81.71	90.24	73.17	77.08	88.24	83.15	31	16	8	6	10.812	2865bc612cfc5e551366da4095d706955748a3c474ad42b49e08ac23aeb25417	97.85	63.41	81.71	81.71	90.24	73.17	77.08	88.24	83.15	31	16	8	6	10.868	2865bc612cfc5e551366da4095d706955748a3c474ad42b49e08ac23aeb25417	97.85	63.41	81.71	81.71	90.24	73.17	77.08	88.24	83.15	31	16	8	6	10.864	2865bc612cfc5e551366da4095d706955748a3c474ad42b49e08ac23aeb25417	99.45	83.41	91.71	91.71	91.71	91.71	91.73	91.73	91.71	10.74	5000.0	113880.0	0.0	0.01	0.0	0.0	0.02	0.02	0.01	0.01	0.0	0.01	0.0	38520.0	200.502	("9a6f239ea6a3a6a9bc1dbcf3d6ad112d4215946fa0243bac944c346e882cb212", "2874ea11308e4a9ef6bcf1bce3ea47230bc82b788fc7b0703306af6c64399547", "fdab9707ebfcbe724ce55564599bf5f55cfbff14d84cb755e0ad36de6d7f9245", "e5123ee44ee0529a1e337005f458ddbc0838abaa5dc2a34c3eca03010a353435", "a49a8a0009d76c29c4eb649a7989799d89e538df266c26e77f1c83a375d07cac")	
4	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	6	5	11.33	92cb803721483936c894ad2c87ec6c0daa391952d09e0f79af1cd1ba25572827	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	6	5	7.693	92cb803721483936c894ad2c87ec6c0daa391952d09e0f79af1cd1ba25572827	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	6	5	7.645	92cb803721483936c894ad2c87ec6c0daa391952d09e0f79af1cd1ba25572827	97.55	70.73	85.37	85.37	78.05	92.68	91.43	80.85	84.21	27	14	6	4	7.649	98a3e4c643f14dd368832a1b2c2004acf2e2f126f35181164664fadf1c6a25d1	97.55	70.73	85.37	85.37	78.05	92.68	91.43	80.85	84.21	27	14	6	4	7.673	98a3e4c643f14dd368832a1b2c2004acf2e2f126f35181164664fadf1c6a25d1	97.55	70.73	85.37	85.37	78.05	92.68	91.43	80.85	84.21	27	14	6	4	7.656	98a3e4c643f14dd368832a1b2c2004acf2e2f126f35181164664fadf1c6a25d1	99.39	85.37	92.68	92.68	85.37	100.0	100.0	87.23	92.11	10.31	5000.0	114560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18080.0	211.543	("388ae26e2ff146074357d4995dad67639011c673ae82f1a1840aa7cc824c34ab", "df075a775888490bf21b076178c8c16912ad7d711ad85f2b60297652db41bc81", "5943b75b591a79688f2b95b47a2c48194ade49f7d6852349800541405ba8fadf", "68f9c0edb1053dec8657c8fbeba2ee109168c38b9a261133abdf2c56262e8f3c", "5e3c9c1322fab567da27a2d505387397dab671765f0f6173a9b2cbe7dfc5b6b0")	
5	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	27	14	6	4	10.326	c4f6a720bb1af398bd4a256782f40b4e23a98e5e31708faa2892bb7512fcb355	99.39	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	27	14	6	4	7.993	c4f6a720bb1af398bd4a256782f40b4e23a98e5e31708faa2892bb7512fcb355	99.39	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	27	14	6	4	8.005	c4f6a720bb1af398bd4a256782f40b4e23a98e5e31708faa2892bb7512fcb355	98.16	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	3	6.796	d88c35d9188ce93b33258a67e54cb9cce9f3ec4d334fd3e7e62cb2bc62a0ad5a	98.16	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	3	6.796	d88c35d9188ce93b33258a67e54cb9cce9f3ec4d334fd3e7e62cb2bc62a0ad5a	98.16	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	3	6.797	d88c35d9188ce93b33258a67e54cb9cce9f3ec4d334fd3e7e62cb2bc62a0ad5a	99.39	79.02	89.51	89.51	81.46	97.56	97.09	84.04	88.59	9.45	5000.0	112600.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.01	0.01	0.02	0.0	102200.0	207.096	("1ddd6439e25cf19ef7b03395c635697dbec7e76cbf0660ee014bcd51486c1291", "f1291207d4cd1636adb7021187d9bfed4f83c31a03d1b575cf62388e885c01eb", "77710a636a0156e2082e7509a7c077a88da5351007d3f4725b38c49ec1833459", "40f5eed4719047ebfe5f74000cf579968626bf35c23c8096be26b0af2b93ab4c", "906e83fd4a6d51e4825186386f21f5cfdba6cfe32111abf7e302252240a7b049")	
6	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.08	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	33	17	7	4	10.419	bd810b8f42455cd5364952bcd63103b93f2fb4f1d49665b2fbe46519d71ff28b	99.08	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	33	17	7	4	8.325	bd810b8f42455cd5364952bcd63103b93f2fb4f1d49665b2fbe46519d71ff28b	99.08	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	33	17	7	4	8.337	bd810b8f42455cd5364952bcd63103b93f2fb4f1d49665b2fbe46519d71ff28b	98.47	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	31	16	6	4	8.288	e82e1e5209d05bb9c3de3ad35d7379e3afd27b02c7644a30825ed6fc623a3bcd	98.47	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	31	16	6	4	8.292	e82e1e5209d05bb9c3de3ad35d7379e3afd27b02c7644a30825ed6fc623a3bcd	98.47	75.61	87.8	87.8	87.8	87.8	87.8	87.8	87.8	31	16	6	4	8.285	e82e1e5209d05bb9c3de3ad35d7379e3afd27b02c7644a30825ed6fc623a3bcd	99.33	91.71	95.85	95.85	93.17	98.54	98.46	93.54	95.73	10.06	5000.0	116040.0	0.0	0.08	0.02	0.02	0.04	0.02	0.02	0.03	0.02	0.0	0.0	76680.0	210.855	("8b7ab3d4072d853ccc044d5ead8c762f67262d655cdb423a55487d0df24188a9", "6c4f15a1f80d1f0f5b5056991e8b0ec19c5c407210e308335282eacd315291d9", "c3329012b86c362066a8dcf29b6309072cfcc63d2354394a9d5c787d00bd1de4", "2cc672335d112065b80e0425c88c1fc735013a22ab5f758ec8624c4b4dfddb73", "399f1966f32a61ebf179932d4de76f4edd58afe26946f6db9244a438b9b25630")	
7	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	98.16	73.17	86.59	86.59	80.49	92.68	91.67	82.61	85.71	35	18	7	4	9.595	0d073d8b6b353fd2c7b94e3234e40bffca25d66f22db6e7991661be2376b6bbe	98.16	73.17	86.59	86.59	80.49	92.68	91.67	82.61	85.71	35	18	7	4	7.652	0d073d8b6b353fd2c7b94e3234e40bffca25d66f22db6e7991661be2376b6bbe	98.16	73.17	86.59	86.59	80.49	92.68	91.67	82.61	85.71	35	18	7	4	7.666	0d073d8b6b353fd2c7b94e3234e40bffca25d66f22db6e7991661be2376b6bbe	98.16	70.73	85.37	85.37	80.49	90.24	89.19	82.22	84.62	31	16	7	4	7.649	67326ac916ee683d1d5110f6848f7061651881932fb83833b162d71a87a84c72	98.16	70.73	85.37	85.37	80.49	90.24	89.19	82.22	84.62	31	16	7	4	7.657	67326ac916ee683d1d5110f6848f7061651881932fb83833b162d71a87a84c72	98.16	70.73	85.37	85.37	80.49	90.24	89.19	82.22	84.62	31	16	7	4	7.675	67326ac916ee683d1d5110f6848f7061651881932fb83833b162d71a87a84c72	98.9	78.54	89.27	89.27	81.95	96.59	96.01	84.28	88.41	9.45	5000.0	114320.0	0.0	0.07	0.02	0.02	0.05	0.02	0.02	0.03	0.02	0.0	0.0	8920.0	193.446	("26ce157d906ab63c553f68a2b04c238b5442b3d52b061474ef2f88aecccf9275", "5aa591a29101ec0bf1ab3f1d250b0a8ff510b3cb905bca6a5c97d80ce6fa8139", "d6595dbc50ecb3d0fcec1ab836571d74388d3ab5d14b3827187d152d7d1d6ea6", "706ebea11bc5b26596a9f6833f62a8ca666b11a535e2efcb2e82e2cdda72b18a", "663c65b0f98b96b8abcc91ff5d6c217d3a94a507a1df43f3a4ddd8c3ee922201")	
8	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	27	14	6	4	7.977	c831ce27c0e9c67d2224fcb7fdf0b0d5d243ef3814e55011957c3ff5d1bb78b6	99.39	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	27	14	6	4	6.45	c831ce27c0e9c67d2224fcb7fdf0b0d5d243ef3814e55011957c3ff5d1bb78b6	99.39	73.17	86.59	86.59	87.8	85.37	85.71	87.5	86.75	27	14	6	4	6.398	c831ce27c0e9c67d2224fcb7fdf0b0d5d243ef3814e55011957c3ff5d1bb78b6	98.16	75.61	87.8	87.8	90.24	85.37	86.05	89.74	88.1	23	12	5	4	6.387	bad758bec284ada76abb0ead73f0c02f463a5389999edbd77a22cc7a2625b523	98.16	75.61	87.8	87.8	90.24	85.37	86.05	89.74	88.1	23	12	5	4	6.379	bad758bec284ada76abb0ead73f0c02f463a5389999edbd77a22cc7a2625b523	98.16	75.61	87.8	87.8	90.24	85.37	86.05	89.74	88.1	23	12	5	4	6.371	bad758bec284ada76abb0ead73f0c02f463a5389999edbd77a22cc7a2625b523	99.45	78.54	89.27	89.27	83.41	95.12	94.47	85.19	88.58	8.77	5000.0	109880.0	0.0	0.07	0.02	0.02	0.07	0.0	0.0	0.04	0.03	0.0	0.0	44520.0	213.117	("0acc3b48662f3fc389adc6da191ca574b5be2c3b38666b16dad6c7858d052684", "ac3479b87d6ac4cfab73c00631f89ecd0fd7a8dbf9f7336bc6f6b94247611071", "4e5d055872e6a39db84431e892e8de6f06c9a01664cede0968c8539353f919b5", "b548b0bead3fd70001f47aa571b1d0484f30f82ca8bee35b27ed0d9122219257", "2f6073d417d7c47b910dbfbc4dd60303177a1ed0e92003027e722359fd9957a2")	
9	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	73.17	86.59	86.59	85.37	87.8	87.5	85.71	86.42	27	14	6	5	12.55	e1f631a991f718fa2433618b3c567516e34f9941739cc0a6d9d3cc39bd678e4d	99.39	73.17	86.59	86.59	85.37	87.8	87.5	85.71	86.42	27	14	6	5	11.034	e1f631a991f718fa2433618b3c567516e34f9941739cc0a6d9d3cc39bd678e4d	99.39	73.17	86.59	86.59	85.37	87.8	87.5	85.71	86.42	27	14	6	5	11.044	e1f631a991f718fa2433618b3c567516e34f9941739cc0a6d9d3cc39bd678e4d	98.47	70.73	85.37	85.37	85.37	85.37	85.37	85.37	85.37	25	13	6	5	10.999	b761e8499f838b43c072b1893fcb660e046c36cf0963c32506a9f5323c9cf7fb	98.47	70.73	85.37	85.37	85.37	85.37	85.37	85.37	85.37	25	13	6	5	11.049	b761e8499f838b43c072b1893fcb660e046c36cf0963c32506a9f5323c9cf7fb	98.47	70.73	85.37	85.37	85.37	85.37	85.37	85.37	85.37	25	13	6	5	11.068	b761e8499f838b43c072b1893fcb660e046c36cf0963c32506a9f5323c9cf7fb	99.33	80.0	90.0	90.0	80.98	99.02	98.82	83.89	89.01	9.69	5000.0	108320.0	0.0	0.04	0.01	0.01	0.01	0.02	0.03	0.01	0.01	0.0	0.0	65520.0	216.999	("11da574b1c5f5980a9be7c297b3d5cc3615ebfb42f61b772cffab1dda79509ee", "a4528d79b11e306ec60a00e61fb2016ade0e5e7d8f88a3229459859751ea9257", "431fad2b170f4b39adc05f51ce7fe796fe296e08c28cee394e6054896a19ff97", "ddc1412c730c1f2d107bd5f62066c4a21f6fda9882ac8fe3fa1b90383ab311a8", "c0b49d8431dcc722cb748cc2e606ae0bf82f30ad2a9208b31c8b8e0318d69ecf")	
10	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(17,)]	99.39	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	29	15	7	4	9.327	25bb15ad399fc3e46d899d87f4566ef0ae0f8ff7852386703db8f2ea7c1ace8c	99.39	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	29	15	7	4	8.277	25bb15ad399fc3e46d899d87f4566ef0ae0f8ff7852386703db8f2ea7c1ace8c	99.39	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	29	15	7	4	8.288	25bb15ad399fc3e46d899d87f4566ef0ae0f8ff7852386703db8f2ea7c1ace8c	97.85	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	4	8.218	1fdb4123000c496aa5d55f17960e9df87ccf69ffbfbb52fe47c77c13c726fab0	97.85	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	4	8.221	1fdb4123000c496aa5d55f17960e9df87ccf69ffbfbb52fe47c77c13c726fab0	97.85	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	27	14	6	4	8.239	1fdb4123000c496aa5d55f17960e9df87ccf69ffbfbb52fe47c77c13c726fab0	99.39	75.61	87.8	87.8	81.46	94.15	93.31	83.56	86.98	8.83	5000.0	106560.0	0.0	0.03	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.0	0.0	85880.0	208.497	("8f6e8a9961f5583b05b4195a270a3d0553d0792dd2e40605094be937d608119f", "51b33b91a8d32928aef420d2918c96ca3515972549ed25529718cee710af6763", "0f7ddb57c8ef248ab53a267459066c309a2aa9fc01d77d3233dcffebd71f55c2", "3707038355c196fcef5611dd215223c1682d3f53f80f38360bc863f756212ff4", "505fcf2d294ec2ec62791c1a492269ea41faf420d5fc9bd9bd42b53f57c3684d")	
