Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
4	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(59.09, 62.5, 62.5, 96.59, 63.06, 96.6, 62.28, 177.219)	
5	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(59.55, 62.92, 62.92, 96.63, 65.55, 96.65, 62.84, 174.91)	
6	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(53.18, 57.08, 57.08, 96.1, 58.57, 96.11, 56.95, 177.809)	
7	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(68.64, 71.25, 71.25, 97.39, 71.74, 97.39, 71.11, 175.766)	
8	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(59.55, 62.92, 62.92, 96.63, 63.54, 96.63, 62.88, 175.294)	
9	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(55.0, 58.75, 58.75, 96.25, 59.99, 96.25, 58.9, 173.782)	
10	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,IndianPines	(59.55, 62.92, 62.92, 96.63, 63.65, 96.64, 62.88, 163.502)	
1	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(74.55, 76.67, 76.67, 97.88, 76.55, 97.89, 76.37, 2795.003)	
2	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(74.55, 76.67, 76.67, 97.88, 76.93, 97.9, 76.1, 975.831)	
3	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 80.82, 98.14, 79.86, 1389.899)	
4	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(68.64, 71.25, 71.25, 97.39, 72.04, 97.39, 71.3, 939.441)	
5	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(70.45, 72.92, 72.92, 97.54, 73.01, 97.55, 72.58, 423.395)	
6	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(65.91, 68.75, 68.75, 97.16, 70.15, 97.16, 69.03, 328.901)	
7	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(80.0, 81.67, 81.67, 98.33, 82.49, 98.34, 81.43, 1954.734)	
8	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(74.09, 76.25, 76.25, 97.84, 76.9, 97.85, 75.98, 436.494)	
9	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(72.27, 74.58, 74.58, 97.69, 76.77, 97.69, 74.93, 395.016)	
10	((3,7),false,"o_RCC8","TestOp"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 76.37, 97.82, 75.34, 702.512)	
1	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 79.51, 98.15, 79.39, 8061.137)	
2	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 80.3, 98.15, 79.52, 4319.132)	
3	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(65.0, 67.92, 67.92, 97.08, 68.42, 97.09, 67.71, 1131.102)	
4	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 80.3, 98.15, 79.5, 722.563)	
5	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 77.64, 97.83, 75.61, 823.353)	
6	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(68.64, 71.25, 71.25, 97.39, 72.66, 97.39, 71.49, 335.99)	
7	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(78.18, 80.0, 80.0, 98.18, 80.5, 98.18, 80.04, 962.187)	
8	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 76.23, 97.81, 75.67, 636.849)	
9	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(75.0, 77.08, 77.08, 97.92, 78.02, 97.92, 77.18, 526.996)	
10	((3,7),false,"o_RCC5","TestOp"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 80.25, 98.15, 79.57, 438.592)	
1	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(87.0, 87.81, 87.81, 99.19, 87.95, 99.19, 87.57, 31.048)	
2	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(87.0, 87.81, 87.81, 99.19, 88.36, 99.19, 87.78, 31.464)	
3	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(88.33, 89.06, 89.06, 99.27, 89.44, 99.27, 89.0, 31.475)	
4	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(87.0, 87.81, 87.81, 99.19, 88.67, 99.19, 87.62, 31.433)	
5	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.51, 99.34, 90.02, 32.042)	
6	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(90.33, 90.94, 90.94, 99.4, 91.69, 99.4, 91.09, 30.53)	
7	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(89.0, 89.69, 89.69, 99.31, 90.29, 99.32, 89.68, 31.166)	
8	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.53, 99.48, 92.25, 30.341)	
9	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(92.33, 92.81, 92.81, 99.52, 93.35, 99.52, 92.94, 31.03)	
10	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.11, 99.33, 89.93, 31.447)	
1	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(94.67, 95.0, 95.0, 99.67, 95.22, 99.67, 95.0, 151.044)	
2	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(95.0, 95.31, 95.31, 99.69, 95.7, 99.69, 95.31, 147.228)	
3	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(93.0, 93.44, 93.44, 99.56, 94.09, 99.57, 93.37, 149.479)	
4	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(95.33, 95.62, 95.62, 99.71, 95.8, 99.71, 95.59, 146.321)	
5	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(97.0, 97.19, 97.19, 99.81, 97.27, 99.81, 97.18, 151.653)	
6	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(95.0, 95.31, 95.31, 99.69, 95.84, 99.69, 95.32, 150.506)	
7	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(94.67, 95.0, 95.0, 99.67, 95.35, 99.67, 95.01, 148.2)	
8	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(96.67, 96.88, 96.88, 99.79, 97.03, 99.79, 96.88, 152.866)	
9	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(92.33, 92.81, 92.81, 99.52, 93.22, 99.52, 92.79, 148.835)	
