	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
218	8	3	1	1	100	T(,2,0.01,0.2)	59.09	4
219	8	3	1	1	100	T(,4,0.01,0.2)	59.09	5
220	8	3	1	1	100	T(entropy,2,0.01,0.2)	59.09	0
221	8	3	1	1	100	T(entropy,2,0.01,0.6)	54.55	1
222	8	3	1	1	100	T(entropy,4,0.01,0.2)	59.09	2
223	8	3	1	1	100	T(entropy,4,0.01,0.6)	54.55	3
224	9	3	1	1	100	RF(100,half,all)	66.36	7
225	9	3	1	1	100	RF(50,half,all)	64.55	6
226	9	3	1	1	100	T(,2,0.01,0.2)	59.09	4
227	9	3	1	1	100	T(,4,0.01,0.2)	54.55	5
228	9	3	1	1	100	T(entropy,2,0.01,0.2)	63.64	0
229	9	3	1	1	100	T(entropy,2,0.01,0.6)	54.55	1
230	9	3	1	1	100	T(entropy,4,0.01,0.2)	63.64	2
231	9	3	1	1	100	T(entropy,4,0.01,0.6)	54.55	3
232	10	3	1	1	100	RF(100,half,all)	79.09	7
233	10	3	1	1	100	RF(50,half,all)	79.09	6
234	10	3	1	1	100	T(,2,0.01,0.2)	72.73	4
235	10	3	1	1	100	T(,4,0.01,0.2)	72.73	5
236	10	3	1	1	100	T(entropy,2,0.01,0.2)	72.73	0
237	10	3	1	1	100	T(entropy,2,0.01,0.6)	63.64	1
238	10	3	1	1	100	T(entropy,4,0.01,0.2)	63.64	2
239	10	3	1	1	100	T(entropy,4,0.01,0.6)	63.64	3
240	1	2	0	1	100	RF(100,half,all)	91.67	7
241	1	2	0	1	100	RF(50,half,all)	90.0	6
242	1	2	0	1	100	T(,2,0.01,0.2)	83.33	4
243	1	2	0	1	100	T(,4,0.01,0.2)	75.0	5
244	1	2	0	1	100	T(entropy,2,0.01,0.2)	83.33	0
245	1	2	0	1	100	T(entropy,2,0.01,0.6)	83.33	1
246	1	2	0	1	100	T(entropy,4,0.01,0.2)	83.33	2
247	1	2	0	1	100	T(entropy,4,0.01,0.6)	83.33	3
248	2	2	0	1	100	RF(100,half,all)	75.0	7
249	2	2	0	1	100	RF(50,half,all)	71.67	6
250	2	2	0	1	100	T(,2,0.01,0.2)	58.33	4
251	2	2	0	1	100	T(,4,0.01,0.2)	58.33	5
252	2	2	0	1	100	T(entropy,2,0.01,0.2)	66.67	0
253	2	2	0	1	100	T(entropy,2,0.01,0.6)	66.67	1
254	2	2	0	1	100	T(entropy,4,0.01,0.2)	66.67	2
255	2	2	0	1	100	T(entropy,4,0.01,0.6)	66.67	3
256	3	2	0	1	100	RF(100,half,all)	83.33	7
257	3	2	0	1	100	RF(50,half,all)	83.33	6
258	3	2	0	1	100	T(,2,0.01,0.2)	58.33	4
259	3	2	0	1	100	T(,4,0.01,0.2)	58.33	5
260	3	2	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
261	3	2	0	1	100	T(entropy,2,0.01,0.6)	83.33	1
262	3	2	0	1	100	T(entropy,4,0.01,0.2)	58.33	2
263	3	2	0	1	100	T(entropy,4,0.01,0.6)	83.33	3
264	4	2	0	1	100	RF(100,half,all)	70.0	7
265	4	2	0	1	100	RF(50,half,all)	66.67	6
266	4	2	0	1	100	T(,2,0.01,0.2)	58.33	4
267	4	2	0	1	100	T(,4,0.01,0.2)	66.67	5
268	4	2	0	1	100	T(entropy,2,0.01,0.2)	58.33	0
269	4	2	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
270	4	2	0	1	100	T(entropy,4,0.01,0.2)	58.33	2
271	4	2	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
272	5	2	0	1	100	RF(100,half,all)	60.0	7
273	5	2	0	1	100	RF(50,half,all)	61.67	6
274	5	2	0	1	100	T(,2,0.01,0.2)	50.0	4
275	5	2	0	1	100	T(,4,0.01,0.2)	50.0	5
276	5	2	0	1	100	T(entropy,2,0.01,0.2)	83.33	0
277	5	2	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
278	5	2	0	1	100	T(entropy,4,0.01,0.2)	58.33	2
279	5	2	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
280	6	2	0	1	100	RF(100,half,all)	68.33	7
281	6	2	0	1	100	RF(50,half,all)	70.0	6
282	6	2	0	1	100	T(,2,0.01,0.2)	58.33	4
283	6	2	0	1	100	T(,4,0.01,0.2)	50.0	5
284	6	2	0	1	100	T(entropy,2,0.01,0.2)	66.67	0
285	6	2	0	1	100	T(entropy,2,0.01,0.6)	58.33	1
286	6	2	0	1	100	T(entropy,4,0.01,0.2)	41.67	2
287	6	2	0	1	100	T(entropy,4,0.01,0.6)	58.33	3
288	7	2	0	1	100	RF(100,half,all)	73.33	7
289	7	2	0	1	100	RF(50,half,all)	73.33	6
290	7	2	0	1	100	T(,2,0.01,0.2)	66.67	4
291	7	2	0	1	100	T(,4,0.01,0.2)	66.67	5
292	7	2	0	1	100	T(entropy,2,0.01,0.2)	75.0	0
293	7	2	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
294	7	2	0	1	100	T(entropy,4,0.01,0.2)	66.67	2
295	7	2	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
296	8	2	0	1	100	RF(100,half,all)	58.33	7
297	8	2	0	1	100	RF(50,half,all)	53.33	6
298	8	2	0	1	100	T(,2,0.01,0.2)	66.67	4
299	8	2	0	1	100	T(,4,0.01,0.2)	66.67	5
300	8	2	0	1	100	T(entropy,2,0.01,0.2)	66.67	0
301	8	2	0	1	100	T(entropy,2,0.01,0.6)	83.33	1
302	8	2	0	1	100	T(entropy,4,0.01,0.2)	66.67	2
303	8	2	0	1	100	T(entropy,4,0.01,0.6)	83.33	3
304	9	2	0	1	100	RF(100,half,all)	73.33	7
305	9	2	0	1	100	RF(50,half,all)	76.67	6
306	9	2	0	1	100	T(,2,0.01,0.2)	83.33	4
307	9	2	0	1	100	T(,4,0.01,0.2)	75.0	5
308	9	2	0	1	100	T(entropy,2,0.01,0.2)	83.33	0
309	9	2	0	1	100	T(entropy,2,0.01,0.6)	83.33	1
310	9	2	0	1	100	T(entropy,4,0.01,0.2)	75.0	2
311	9	2	0	1	100	T(entropy,4,0.01,0.6)	83.33	3
312	10	2	0	1	100	RF(100,half,all)	71.67	7
313	10	2	0	1	100	RF(50,half,all)	68.33	6
314	10	2	0	1	100	T(,2,0.01,0.2)	66.67	4
315	10	2	0	1	100	T(,4,0.01,0.2)	66.67	5
316	10	2	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
317	10	2	0	1	100	T(entropy,2,0.01,0.6)	66.67	1
318	10	2	0	1	100	T(entropy,4,0.01,0.2)	66.67	2
319	10	2	0	1	100	T(entropy,4,0.01,0.6)	66.67	3
320	1	3	0	1	100	RF(100,half,all)	67.5	7
321	1	3	0	1	100	RF(50,half,all)	55.0	6
322	1	3	0	1	100	T(,2,0.01,0.2)	50.0	4
323	1	3	0	1	100	T(,4,0.01,0.2)	62.5	5
324	1	3	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
325	1	3	0	1	100	T(entropy,2,0.01,0.6)	62.5	1
326	1	3	0	1	100	T(entropy,4,0.01,0.2)	62.5	2
327	1	3	0	1	100	T(entropy,4,0.01,0.6)	62.5	3
328	2	3	0	1	100	RF(100,half,all)	55.0	7
329	2	3	0	1	100	RF(50,half,all)	57.5	6
330	2	3	0	1	100	T(,2,0.01,0.2)	50.0	4
331	2	3	0	1	100	T(,4,0.01,0.2)	37.5	5
332	2	3	0	1	100	T(entropy,2,0.01,0.2)	37.5	0
333	2	3	0	1	100	T(entropy,2,0.01,0.6)	50.0	1
334	2	3	0	1	100	T(entropy,4,0.01,0.2)	37.5	2
335	2	3	0	1	100	T(entropy,4,0.01,0.6)	50.0	3
336	3	3	0	1	100	RF(100,half,all)	62.5	7
337	3	3	0	1	100	RF(50,half,all)	62.5	6
338	3	3	0	1	100	T(,2,0.01,0.2)	62.5	4
339	3	3	0	1	100	T(,4,0.01,0.2)	62.5	5
340	3	3	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
341	3	3	0	1	100	T(entropy,2,0.01,0.6)	50.0	1
342	3	3	0	1	100	T(entropy,4,0.01,0.2)	50.0	2
343	3	3	0	1	100	T(entropy,4,0.01,0.6)	50.0	3
344	4	3	0	1	100	RF(100,half,all)	40.0	7
345	4	3	0	1	100	RF(50,half,all)	45.0	6
346	4	3	0	1	100	T(,2,0.01,0.2)	25.0	4
347	4	3	0	1	100	T(,4,0.01,0.2)	25.0	5
348	4	3	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
349	4	3	0	1	100	T(entropy,2,0.01,0.6)	50.0	1
350	4	3	0	1	100	T(entropy,4,0.01,0.2)	50.0	2
351	4	3	0	1	100	T(entropy,4,0.01,0.6)	50.0	3
352	5	3	0	1	100	RF(100,half,all)	67.5	7
353	5	3	0	1	100	RF(50,half,all)	65.0	6
354	5	3	0	1	100	T(,2,0.01,0.2)	62.5	4
355	5	3	0	1	100	T(,4,0.01,0.2)	62.5	5
356	5	3	0	1	100	T(entropy,2,0.01,0.2)	62.5	0
357	5	3	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
358	5	3	0	1	100	T(entropy,4,0.01,0.2)	62.5	2
359	5	3	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
360	6	3	0	1	100	RF(100,half,all)	42.5	7
361	6	3	0	1	100	RF(50,half,all)	60.0	6
362	6	3	0	1	100	T(,2,0.01,0.2)	62.5	4
363	6	3	0	1	100	T(,4,0.01,0.2)	50.0	5
364	6	3	0	1	100	T(entropy,2,0.01,0.2)	62.5	0
365	6	3	0	1	100	T(entropy,2,0.01,0.6)	87.5	1
366	6	3	0	1	100	T(entropy,4,0.01,0.2)	50.0	2
367	6	3	0	1	100	T(entropy,4,0.01,0.6)	87.5	3
368	7	3	0	1	100	RF(100,half,all)	45.0	7
369	7	3	0	1	100	RF(50,half,all)	45.0	6
370	7	3	0	1	100	T(,2,0.01,0.2)	50.0	4
371	7	3	0	1	100	T(,4,0.01,0.2)	37.5	5
372	7	3	0	1	100	T(entropy,2,0.01,0.2)	75.0	0
373	7	3	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
374	7	3	0	1	100	T(entropy,4,0.01,0.2)	75.0	2
375	7	3	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
376	8	3	0	1	100	RF(100,half,all)	75.0	7
377	8	3	0	1	100	RF(50,half,all)	75.0	6
378	8	3	0	1	100	T(,2,0.01,0.2)	87.5	4
379	8	3	0	1	100	T(,4,0.01,0.2)	87.5	5
380	8	3	0	1	100	T(entropy,2,0.01,0.2)	87.5	0
381	8	3	0	1	100	T(entropy,2,0.01,0.6)	75.0	1
382	8	3	0	1	100	T(entropy,4,0.01,0.2)	87.5	2
383	8	3	0	1	100	T(entropy,4,0.01,0.6)	75.0	3
384	9	3	0	1	100	RF(100,half,all)	60.0	7
385	9	3	0	1	100	RF(50,half,all)	55.0	6
386	9	3	0	1	100	T(,2,0.01,0.2)	37.5	4
387	9	3	0	1	100	T(,4,0.01,0.2)	37.5	5
388	9	3	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
389	9	3	0	1	100	T(entropy,2,0.01,0.6)	50.0	1
390	9	3	0	1	100	T(entropy,4,0.01,0.2)	50.0	2
391	9	3	0	1	100	T(entropy,4,0.01,0.6)	50.0	3
392	10	3	0	1	100	RF(100,half,all)	47.5	7
393	10	3	0	1	100	RF(50,half,all)	47.5	6
