,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,10299,188667899,5.68 GiB,8708,197934491,5.75 GiB
,,,,,,,,,9911,175063564,5.34 GiB,6739,182892230,5.38 GiB
,,,,,,,,,3023,39002954,1.04 GiB,3160,40747235,1.06 GiB
,,,,,,,,,2879,28268678,767.40 MiB,2985,29597332,781.42 MiB
,,,,,,,,,8561,176940227,5.21 GiB,8255,199394934,5.73 GiB
,,,,,,,,,8113,168556801,5.07 GiB,8570,187641815,5.35 GiB
,,,,,,,,,8276,173054729,5.23 GiB,8006,186875342,5.37 GiB
,,,,,,,,,8510,165855286,5.15 GiB,7430,175893629,5.17 GiB
,,,,,,,,,9709,195120538,5.97 GiB,6591,168408812,4.83 GiB
,,,,,,,,,1675,20114233,525.47 MiB,1696,20702373,527.66 MiB
,,,,,,,,,1617,14653534,371.92 MiB,1665,15071434,373.23 MiB
,,,,,,,,,8184,169290689,5.06 GiB,8746,180237794,5.20 GiB
,,,,,,,,,7260,159699568,4.92 GiB,7053,167173662,4.94 GiB
,,,,,,,,,8796,177585379,5.27 GiB,6697,184650504,5.27 GiB
,,,,,,,,,10013,197757177,5.94 GiB,8792,206746309,5.98 GiB
,,,,,,,,,12126,202799710,6.04 GiB,13480,215288404,6.20 GiB
,,,,,,,,,3319,39621454,1.02 GiB,3456,41119288,1.04 GiB
,,,,,,,,,2239,21293948,536.88 MiB,2313,22049833,542.88 MiB
,,,,,,,,,9072,176853717,5.27 GiB,9044,186830378,5.38 GiB
,,,,,,,,,8757,168540084,5.05 GiB,7281,175210032,5.07 GiB
,,,,,,,,,8061,162400934,4.87 GiB,6043,170441606,5.04 GiB
,,,,,,,,,11280,209728223,6.47 GiB,9583,209402100,6.10 GiB
,,,,,,,,,9413,176489246,5.22 GiB,8540,188168304,5.40 GiB
,,,,,,,,,2018,25869223,684.57 MiB,2113,26810754,691.36 MiB
,,,,,,,,,1333,12795561,329.98 MiB,1405,13191837,331.10 MiB
,,,,,,,,,10410,206318906,6.25 GiB,10072,218595364,6.41 GiB
,,,,,,,,,10649,184659201,5.58 GiB,8738,192943728,5.62 GiB
,,,,,,,,,11328,188591722,5.78 GiB,9417,194016421,5.72 GiB
,,,,,,,,,10657,203717915,6.11 GiB,9676,210293107,6.07 GiB
,,,,,,,,,17239,197376596,5.93 GiB,8585,203420485,5.88 GiB
,,,,,,,,,2088,24472028,636.42 MiB,2189,25279670,642.18 MiB
,,,,,,,,,1155,11069671,281.41 MiB,1206,11449296,283.27 MiB
,,,,,,,,,9304,180643681,5.41 GiB,7408,187816607,5.42 GiB
,,,,,,,,,9219,169801583,5.15 GiB,6619,175382976,5.12 GiB
,,,,,,,,,8553,185743007,5.60 GiB,8487,192358553,5.58 GiB
,,,,,,,,,7913,170632390,5.16 GiB,6853,175395980,5.10 GiB
,,,,,,,,,7349,166136739,4.85 GiB,7082,171961977,4.83 GiB
,,,,,,,,,5440,53096888,1.35 GiB,5092,55427393,1.37 GiB
,,,,,,,,,2226,21154217,531.44 MiB,2306,21930112,537.82 MiB
,,,,,,,,,8748,177759503,5.37 GiB,7210,184584867,5.37 GiB
,,,,,,,,,11032,209741311,6.29 GiB,9713,216625360,6.25 GiB
,,,,,,,,,10418,188247959,5.63 GiB,9243,194390357,5.59 GiB
,,,,,,,,,11437,179088819,5.44 GiB,6704,184302445,5.38 GiB
,,,,,,,,,10251,196265059,5.92 GiB,8559,202991504,5.89 GiB
,,,,,,,,,1884,24833196,652.17 MiB,1950,25612496,657.20 MiB
,,,,,,,,,1415,13292238,339.32 MiB,1469,13685189,340.80 MiB
,,,,,,,,,7984,165982662,5.12 GiB,6371,177671925,5.20 GiB
,,,,,,,,,9743,172130191,5.17 GiB,6977,177737007,5.28 GiB
,,,,,,,,,10205,185435762,5.66 GiB,5834,156333099,4.56 GiB
,,,,,,,,,8653,169313360,5.28 GiB,5911,162940154,4.76 GiB
,,,,,,,,,7490,166030683,5.05 GiB,2321,149767998,4.34 GiB
,,,,,,,,,2807,31571267,830.42 MiB,2904,32731542,839.93 MiB
,,,,,,,,,1095,10940267,282.65 MiB,1152,11286268,283.17 MiB
,,,,,,,,,7750,163507495,4.99 GiB,6444,167775193,4.91 GiB
,,,,,,,,,9562,178813552,5.41 GiB,7585,198471698,5.84 GiB
,,,,,,,,,8256,173659995,5.26 GiB,46431,174559147,5.06 GiB
,,,,,,,,,7779,170208441,5.24 GiB,2126,156214697,4.58 GiB
,,,,,,,,,9387,177633958,5.39 GiB,6920,182193441,5.28 GiB
,,,,,,,,,2672,31554395,822.40 MiB,2780,32655416,831.57 MiB
,,,,,,,,,2259,20666539,532.44 MiB,2351,21342939,537.12 MiB
,,,,,,,,,11832,202352502,5.96 GiB,10549,209227248,5.94 GiB
,,,,,,,,,9760,211593707,6.24 GiB,9906,218125880,6.20 GiB
,,,,,,,,,7334,174844642,5.17 GiB,7129,179494692,5.10 GiB
,,,,,,,,,8377,170682426,5.17 GiB,7023,174585231,5.07 GiB
,,,,,,,,,6611,157553607,4.72 GiB,6053,161099206,4.64 GiB
,,,,,,,,,"Iteration ""TestOp_80,3,1,4,false,stump,Any[],1,(10,45,30)""...",201348675 allocations,6.48 GiB,"Iteration ""TestOp_80,3,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,,,,,,,,,1837,201348675,6.48 GiB,57.928,4184993,215.84 MiB
